15313961	gupta birnbaum uretsky	calculation of creatinine clearance based on unadjusted body weight leads to errors in renal and heart failure patients	Circulation.
15466345	gupta bartling basu ross becker pfoh brady curtin	experimental flatpanel highspatialresolution volume ct of the temporal bone	a ct scanner employ a digital flatpanel detector be capable of very high spatial resolution as compare with a multisection ct lrb msct rrb scanner we purpose be to determine how well a prototypical volume ct lrb vct rrb scanner with a flatpanel detector system define fine structure in temporal bone four partially manipulate temporalbone specimen be image by use of a prototypical conebeam vct scanner with a flatpanel detector system at a isometric resolution of 150 microm at the isocenter these specimen be also depict by stateoftheart multisection ct lrb msct rrb fortytwo structure image by both scanner be qualitatively assess and rate and score assign to vct finding be compare with those of msct qualitative assessment of anatomic structure lesion cochlear implant and middleear hearing aid indicate that image quality be significantly better with vct lrb p 001 rrb structure near the spatialresolution limit of msct lrb eg bony cover of the tympanic segment of the facial canal the incudostapedial joint the proximal vestibular aqueduct the interscalar septum and the modiolus rrb have higher contrast and less partialvolume effect with vct the flatpanel prototype provide better definition of fine osseous structure of temporal bone than that of currently available msct scanner this study provide impetus for further research in increase spatial resolution beyond that offer by the current stateoftheart scanner	AJNR_Am_J_Neuroradiol.
16528556	gupta grasruck suess bartling schmidt stierstorfer popescu brady flohr	ultrahigh resolution flatpanel volume ct fundamental principles design architecture and system characterization	digital flatpanelbased volume ct lrb vct rrb represent a unique design capable of ultrahigh spatial resolution direct volumetric imaging and dynamic ct scanning this innovation when fully develop have the promise of open a unique window on human anatomy and physiology for example the volumetric coverage offer by this technology enable we to observe the perfusion of a entire organ such as the brain liver or kidney tomographically lrb eg after a transplant or ischemic event rrb by virtue of its higher resolution one can directly visualize the trabecular structure of bone this paper describe the basic design architecture of vct three key technical challenge viz scatter correction dynamic range extension and temporal resolution improvement must be address for successful implementation of a vct scanner how these issue be solve in a vct prototype and the modification necessary to enable ultrahigh resolution volumetric scanning be describe the fundamental principle of scatter correction and dose reduction be illustrate with the help of a actual prototype the image quality metric of this prototype be characterize and compare with a multidetector ct lrb mdct rrb	Eur_Radiol.
16808221	gupta jones mooyaart pomerantz	computed tomographic angiography in stroke imaging fundamental principles pathologic findings and common pitfalls	the development of multidetector row compute tomography lrb mdct rrb now permit visualization of the entire vascular tree that be relevant for the management of stroke within 15 seconds advance in mdct have bring computed tomography angiography lrb cta rrb to the frontline in evaluation of stroke cta be a rapid and noninvasive modality for evaluate the neurovasculature this article describe the role of cta in the management of stroke fundamental of contrast delivery common pathologic finding artifact and pitfall in cta interpretation be discuss	Semin_Ultrasound_CT_MR.
18238847	gupta markowitz berman chapman	highresolution imaging of an ancient egyptian mummified head new insights into the mummification process	systematic facial mutilation during mummification have never be describe before the purpose of this work be to study a wrap mummified head use highresolution ct scanning a isolate mummified head from the egyptian middle kingdom be scan at 200 mum isotropic resolution a prototype flat panel ct scanner be use to generate 800 nonoverlapping ct section at 120 kv and 50 ma this dataset be analyze to discern various surgical alteration during mummification there be large defect in the cribriform plate and the posterior fossa systematic mutilation of the facial bone and mandible involve the anterior and inferior wall of the maxillary sinus the floor of both orbit and the zygomatic arch with contiguous segment of the zygoma be demonstrate the coronoid process of both mandible have be sharply excise and the articular tubercle of the temporomandibular joint fracture defect in the ethmoid and the posterior skull base be consistent with previous description of excerebration mutilation of the facial skeleton and jaw which be unrelated to the process of excerebration have never be describe previously it be noteworthy that the osteotomy selectively include the insertion of the muscle of mastication these mutilation apparently be design for mobilization of lower jaw the opening of the mouth ceremony describe in the ancient text would be difficult to perform in the presence of rigor mortis it be probable that the observe osteotomy be perform to facilitate this ceremony we research suggest that by the middle kingdom egyptian embalmer have develop highly sophisticated surgical technique that have not be appreciate previously	AJNR_Am_J_Neuroradiol.
19001655	gupta cheung bartling lisauskas grasruck leidecker schmidt flohr brady	flatpanel volume ct fundamental principles technology and applications	flatpanel volume compute tomography lrb ct rrb system have a innovative design that allow coverage of a large volume per rotation fluoroscopic and dynamic imaging and high spatial resolution that permit visualization of complex human anatomy such as fine temporal bone structure and trabecular bone architecture in simple term flatpanel volume ct scanner can be think of as conventional multidetector ct scanner in which the detector row have be replace by a area detector the flatpanel detector have wide zaxis coverage that enable imaging of entire organ in one axial acquisition its fluoroscopic and angiographic capability be useful for intraoperative and vascular application furthermore the highvolume coverage and continuous rotation of the detector may enable depiction of dynamic process such as coronary blood flow and wholebrain perfusion other application in which flatpanel volume ct may play a role include smallanimal imaging nondestructive testing in animal survival surgery and tissueengineering experiment such versatility have lead some to predict that flatpanel volume ct will gain importance in interventional and intraoperative application especially in specialty such as cardiac imaging interventional neuroradiology orthopedic and otolaryngology however the contrast resolution of flatpanel volume ct be slightly inferior to that of multidetector ct a higher radiation dose be need to achieve a comparable signaltonoise ratio and a slower scintillator result in a longer scanning time	Radiographics.
20679449	gupta phan leidecker brady hirsch nogueira yoo	evaluation of dualenergy ct for differentiating intracerebral hemorrhage from iodinated contrast material staining	to evaluate the efficacy of dualenergy compute tomography lrb ct rrb in the differentiation of intracerebral hemorrhage lrb ich rrb from iodinate contrast material in patient who receive contrast material via intraarterial or intravenous delivery this retrospective study be approve by the local institutional review board which waive the inform consent requirement for the analysis sixteen patient with acute stroke and two with head trauma who have undergo intraarterial or intravenous administration of iodinate contrast material be evaluate by use dualenergy ct to differentiate area of hyperattenuation secondary to contrast material staining from those represent ich a dualenergy ct scanner be use for imaging at 80 and 140 kv and a threematerial decomposition algorithm be use to obtain virtual unenhanced image and iodine overlay image the sensitivity specificity and accuracy of dualenergy ct in the prospective differentiation of intraparenchymal contrast material from hemorrhage be obtain followup image be use as the standard of reference there be 28 intraparenchymal area of hyperattenuation classify at dualenergy ct as iodinated contrast material staining lrb n 20 71 rrb hemorrhage lrb n 5 18 rrb or both lrb n 3 11 rrb two of the three area of hyperattenuation see on both virtual unenhanced and iodine overlay image be relate to mineralization the sensitivity specificity and accuracy of dualenergy ct in the identification of hemorrhage be 100 lrb six of six area rrb 91 lrb 20 of 22 area rrb and 93 lrb 26 of 28 area rrb respectively dualenergy ct can help differentiate ich from iodinate contrast material staining with high sensitivity and specificity in patient who have recently receive intraarterial or intravenous iodinate contrast material	Radiology.
21835945	gupta mehndiratta mitha grasruck leidecker ogilvy brady	temporal resolution of dynamic angiography using flat panel volume ct in vivo evaluation of timedependent vascular pathologies	recently introduce fpvct scanner can capture volumetric lrb 4d rrb timevarying projection enable wholeorgan dynamic cta imaging the main objective of this study be to assess the temporal resolution of dynamic cta in discriminate various phase of rapid and slow timedependent neurovascular pathology in animal model animal model be create to assess phasic blood flow subclavian steal phenomenon saccular aneurysm and neuroperfusion under protocol approve by the srac animal with progressively increase heart ratemacaca sylvanus lrb 100 bpm rrb oryctolagus cuniculus lrb nzw rabbit rrb lrb 150 bpm rrb rattus norvegicus lrb 300 bpm rrb mus musculus lrb 500 bpm rrb be image to challenge the temporal resolution of the system fpvct a research prototype with a 25 25 18 cm coverage be use for dynamic imaging with the gantry rotation time vary from 3 to 5 seconds volumetric dataset with 50 temporal overlap be reconstruct 4d dataset be analyze by use the leonardo workstation dynamic imaging by use fpvct be capable of demonstrate the follow phenomenon 1 rrb subclavian steal in rabbit lrb t 34 seconds rrb 2 rrb arterial parenchymal and venous phase of blood flow in mouse lrb t 2 seconds rrb rabbit lrb t 34 seconds rrb and macaca sylvanus lrb t 34 seconds rrb 3 rrb sequential enhancement of the right and leave side of the heart in macaca sylvanus and white rabbit lrb t 2 seconds rrb and 4 rrb different time of the peak opacification of cervical and intracranial artery venous sinus and the jugular vein in these animal lrb smallest t 152 seconds rrb the perfusion imaging in all animal test be limit due to the fast transit time through the brain and the low contrast resolution of fpvct dynamic imaging by use fpvct can distinguish temporal process separate by 15 seconds neurovascular pathology with a time constant 15 seconds can be evaluate noninvasively by use fpvct	AJNR_Am_J_Neuroradiol.
22345834	gupta lahan	insomnia associated with depressive disorder primary secondary or mixed	insomnia be a common problem that be know to occur during depression however literature still debate whether insomnia be part of depression or a separate entity subject present with depressive disorder accord to dsmivtext revision criterion be recruit after seek inform consent clinical interview be perform with the help of mini international neuropsychiatric interview plus they demographic datum and depression related history be record depression severity be assess by use hamilton rating scale for depression diagnosis of insomnia be make with the help of international classification of sleep disorders2 criterion type of insomnia its duration and its relationship with depressive illness be specifically ask if any subject fulfil criterion for more than one type of insomnia both be record statistical analysis be do with the help of statistical package for social science lrb spss rrb version 170 lrb 2 rrb test independent sample t test and pearson s correlation be perform a total of 54 subject be enrol in this study primary insomnia be see in 407 case and secondary insomnia in 588 case 273 subject do not experience insomnia along with depressive disorder in the primary insomnia category adjustment insomnia be most prevalent lrb 636 rrb and in secondary insomnia group insomnia due to depressive disorder be most frequent lrb 593 rrb interestingly primary insomnia often follow a onset of depressive illness lrb p 004 rrb while secondary insomnia precede it lrb c lrb 2 rrb 111 p 0004 rrb the presence of either type of insomnia be not influence by duration of depressive illness number of depressive episode and duration of current depressive episode on the other hand duration of insomnia be positively correlate with total duration of depressive illness lrb p 0003 rrb number of episode lrb p 004 rrb and duration of current depressive episode lrb p 0001 rrb primary insomnia be common in subject with depression and it usually follow depressive illness on the other hand secondary insomnia often precede the onset of depressive illness duration of insomnia positively correlate with duration and frequency of depressive episode	Indian_J_Psychol_Med.
22345850	gupta lahan srivastava	kleinelevin syndrome and idiopathic hypersomnia spectrum disorders	kleinelevin syndrome lrb kls rrb and idiopathic hypersomnia lrb ih rrb be primary sleep disorder of unknown etiology which often run a chronic course the common core symptom of these syndrome be hypersomnolence and sleep drunkenness with periodic hypersomnolence and hyperphagia be the prominent symptom of kls psychiatric manifestation be common to both and include irritability depression apathy inattention and poor concentration both disorder be diagnose clinically and no specific laboratory investigation be available to confirm the diagnosis we present a case highlight the overlap of the symptom of kls and ih produce a complex clinical picture	Indian_J_Psychol_Med.
22346013	gupta lahan goel	translation and validation of international restless leg syndrome study group rating scale in hindi language	the objective of this study be to translate and validate the international restless leg syndrome study group rating scale lrb irls rrb in hindi language thirty one consecutive patient diagnose of restless leg syndrome lrb rls rrb be include in the study control group comprise of 31 subject not have any symptom of rls the scale be procure from mapi research trust and permission for the translation be seek the translation be do accord to the guideline provide by the publisher after translation final version of the scale be apply in both the group to find out the reliability and clinical validity rls group have a predominance of female and they be younger than the male counterpart lrb age 3680 1046 year vs 4518 834 year t 228 p 003 rrb there be no difference in the mean age between group lrb rls 3977 1044 year vs non rls 3829 1129 year t 053 p 059 rrb irls score be significantly different between both group on all item lrb p 0001 rrb translate version show high reliability lrb cronbach s alpha 086 rrb irls score be significantly different between both group on all item lrb p 0001 rrb hindi version of irls be reliable and a clinically valid tool that can be apply in hindi speak population	Ann_Indian_Acad_Neurol.
