11724676	lee yew wong fu	nonhodgkins pleural lymphoma in longstanding tuberculous pyothorax mimicking suppuration	Int_J_Infect_Dis.
12398880	lee yew chiu wong wong wang	delayed sternotomy wound infection due to paecilomyces variotii in a lung transplant recipient	we report a case of sternotomy wound infection cause by paecilomyces variotii in a previously bronchiectatic patient occur 10 month after bilateral sequential lung transplantation the use of prophylactic antifungal therapy the persistent colonization with paecilomyces and sternal instability after clamshell incision may have contribute to the development of delay deep sternal wound infection besides antifungal therapy vigorous surgical debridement be vital for treatment success with the more liberal use of early posttransplant fungal prophylaxis potentially drugresistant fungus such as the paecilomyces species may be emerge as important opportunistic pathogen after lung transplantation	J_Heart_Lung_Transplant.
14550827	lee yew wong wong chiu	multidrugresistant tuberculosis in a lung transplant recipient	tuberculosis infection have be a relatively rare complication after lung transplantation however as more country in which mycobacterium tuberculosis infection remain endemic embark on lung transplant program the occurrence of multidrugresistant tuberculosis after transplantation be a genuine threat we report the first case of multidrugresistant tuberculosis in a doublelung transplant recipient who probably acquire the disease from the donor we discuss the problem in clinical management of posttransplant tuberculosis infection and of drugresistance	J_Heart_Lung_Transplant.
19179380	lee kannagi ferrante kowall ryu	activation of ets2 by oxidative stress induces bclxl expression and accounts for glial survival in amyotrophic lateral sclerosis	amyotrophic lateral sclerosis lrb als rrb be a adultonset neurodegenerative disease characterize by selective degeneration of motor neuron and glial activation cellspecific transcriptional regulation induce by oxidative stress may contribute to the survival and activation of astrocyte in the face of motor neuron death in the present study we demonstrate a agedependent increase in bclxl and ets2 immunoreactivity that correlate with a increase of glial fibrillary acidic protein lrb gfap rrb positive cell in the ventral horn of the spinal cord in both als transgenic mouse lsb mutant sod1 lrb g93a rrb rsb and affect human chromatin immunoprecipitation lrb chip rrb analysis verify that ets2 preferentially occupy the ets2 binding element in the promoter of bclxl in primary astrocyte under oxidative stress condition as well as in g93a spinal cord ets2 smallinterfering rna downregulate the transcriptional activity of bclxl in primary glial culture bclxl overexpression and mutant sod1 lrb g93a rrb both confer resistance to oxidative stressinduced cell death we finding suggest that ets2 transcription factor activation of bclxl gene may protect glia from constitutive oxidative stress that be think to be a key mechanism contribute to the pathogenesis of als this survival pathway may contribute to the glial survival and activation see in the spinal cord of als patient	FASEB_J.
19427829	lee ryu kowall	motor neuronal protection by larginine prolongs survival of mutant sod1 g93a als mice	amyotrophic lateral sclerosis lrb als rrb be a fatal neurodegenerative disorder characterize by progressive paralysis due to motor neuron degeneration despite the fact that many different therapeutic strategy have be apply to prevent disease progression no cure or effective therapy be currently available for als we find that larginine protect culture motor neuron from excitotoxic injury we also find that larginine supplementation both prior to and after the onset of motor neuron degeneration in mtsod1 lrb g93a rrb transgenic als mouse significantly slow the progression of neuropathology in lumbar spinal cord delay onset of motor dysfunction and prolonged life span moreover larginine treatment be associate with preservation of arginase i activity and neuroprotective polyamine in spinal cord motor neuron we finding show that larginine have potent in vitro and in vivo neuroprotective property and may be a candidate for therapeutic trial in als	Biochem_Biophys_Res_Commun.
19580782	lee ryu kowall	differential regulation of neuronal and inducible nitric oxide synthase nos in the spinal cord of mutant sod1 g93a als mice	amyotrophic lateral sclerosis lrb als rrb be a fatal neurological disorder characterize by degeneration of motor neuron throughout the central nervous system mutation of the free radical scavenging enzyme superoxide dismutase1 lrb sod1 rrb be a cause of familial als but it be not know how mutation lead to cell death free radical such as nitric oxide lrb no rrb be think to play a key pathogenic role no be synthesize by no synthase lrb noss rrb from arginine which be a ratelimiting factor for no production we find that neuronal nos lrb nnos rrb positive motor neuron be deplete while inducible nos lrb inos rrb positive activate glial cell be increase in transgenic mtsod1 lrb g93a rrb als mouse inos expression be up regulate consistent with the increase of motor neuron loss and glial activation and citrulline and no level while nnos expression be decrease in g93a als mouse administration of larginine to g93a mouse reduce the severity of motor neuron depletion and glial activation in treated animal nnos expression be preserve while citrulline and no be reduce possibly due to reduced activation of glia express inos we finding show that high concentration of no correlate with inos expression rather than nnos expression in g93a als mouse this suggest that therapy focus on inos inhibition might be a fruitful direction for future als therapeutic trial	Biochem_Biophys_Res_Commun.
16277408	lee harnly	free amino acid and cysteine sulfoxide composition of 11 garlic allium sativum l cultivars by gas chromatography with flame ionization and mass selective detection	two garlic subspecy lrb n 11 rrb allium sativum l var opioscorodon lrb hardneck rrb and allium sativum l var sativum lrb softneck rrb be evaluate for they free amino acid composition the free amino acid content of garlic sample analyze range from 11217 to 31061 mg100 g of fresh weight lrb mean 21307 6815 mg100 g rrb hardneck garlic have greater methiin alliin and total free amino acid contents compare to softneck garlic the major free amino acid present in all but one subspecy be glutamine lrb cv mother of pearl have aspartic acid as the major free amino acid rrb cv music pink garlic lrb a rocambole hardneck variety rrb contain the most methiin alliin and total free amino acid the solidphase extraction alkylchloroformate derivatization gcfid and gcms method use in this study be simple and rapid allow 18 free amino acid in garlic to be separate within 10 min	J_Agric_Food_Chem.
16277409	lee finley harnly	effect of selenium fertilizer on free amino acid composition of broccoli brassica oleracea cv majestic determined by gas chromatography with flame ionization and mass selective detection	seleniumenriched broccoli floret harvest from plant grow on soil fertilize with four level of sodium selenate be evaluate for they free amino acid composition use alkylchlorformate derivatization solidphase extraction and gcfid or gcms the seleniumenriched floret contain 04 lrb control rrb 57 lrb treatment a rrb 986 lrb treatment b rrb and 8792 lrb treatment c rrb microgg se lrb dry weight rrb twentyone free amino acid be identify in the control and all three treatment the total free amino acid content of the broccoli floret range from 178 mmolkg lrb dry weight rrb for the control to 479 mmolkg lrb dry weight rrb for treatment c broccoli from treatment c contain the highest level of se have the most total free amino acid and have a extremely high level of glutamine lrb gln rrb when compare to the control and the other two treatment in general the smallest addition of se to the soil lrb treatment a rrb induce increase level of all detectable amino acid when compare to the control whereas increase addition of se lrb treatment b and c rrb produce mixed response floret from treatment a contain the highest essential amino acid content	J_Agric_Food_Chem.
16385975	lee durst wrolstad	determination of total monomeric anthocyanin pigment content of fruit juices beverages natural colorants and wines by the ph differential method collaborative study	this collaborative study be conduct to determine the total monomeric anthocyanin concentration by the ph differential method which be a rapid and simple spectrophotometric method base on the anthocyanin structural transformation that occur with a change in ph lrb color at ph 10 and colorless at ph 45 rrb eleven collaborator represent commercial laboratory academic institution and government laboratory participate seven youden pair material represent fruit juice beverage natural colorant and wine be test the repeatability relative standard deviation lrb rsdr rrb vary from 106 to 416 the reproducibility relative standard deviation lrb rsdr rrb range from 269 to 1012 the horrat value be or 133 for all material the study director recommend that the method be adopt official first action	J_AOAC_Int.
20836175	lee finn	anthocyanins and other polyphenolics in american elderberry sambucus canadensis and european elderberry s nigra cultivars	ten genotype represent two elderberry species sambucus canadensis l lrb eight genotype rrb and s nigra l lrb two genotype rrb be examine for they anthocyanin lrb acy rrb total phenolic lrb tp rrb brix titratable acidity lrb ta rrb and ph over two grow season overall fruit generally have higher acy tp acytp brix and ph in 2005 than 2004 all sample of s canadensis have similar anthocyanin profile to one another but be distinctly different from s nigra both species have cyanidinbased anthocyanin as major pigment previously unreported anthocyanin be identify in some sample in this study trace level of delphinidin 3rutinoside be present in all elderberry sample except cv korsr also petunidin 3rutinoside be detect in cv adams 2 johns scotia york and netzer lrb s canadensis rrb the identify polyphenolic of both species be mainly compose of cinnamic acid and flavonol glycoside the major polyphenolic compound present in s canadensis be neochlorogenic acid chlorogenic acid rutin and isorhamnetin 3rutinoside while chlorogenic acid and rutin be find to be major polyphenolic compound in s nigra sufficient variability be see among these genotype to suggest that a successful breeding program could be carry out to improve level of the various compound evaluate in this study copyright 2007 society of chemical industry	J_Sci_Food_Agric.
23561187	lee skinkis	oregon pinot noir grape anthocyanin enhancement by early leaf removal	complete cluster zone leaf removal of pinot noir be initiate at three separate prevraison growth stage lrb bloom grainpea size and bunch closure rrb and maintain leaf free until harvest for four grow season lrb 20082011 rrb fruit anthocyanin composition be examine at harvest for the last two vintage lrb 2010 and 2011 rrb and compare to a controlno cluster zone leaf removal experiment be conduct at two commercially operate oregon vineyard lrb site a 420 rootstock pinot noir 115 scion and site b 3309c rootstock pinot noir 777 scion rrb all cluster contain the five anthocyanin typically find in pinot noir leaf removal at bloom and maintain until harvest produce maximum anthocyanin accumulation in pinot noir grape lrb site a 8524 mg100 g and site b 12506 mg100 g rrb compare to no leaf removal lrb control site a 5791 mg100 g and site b 9756 mg100 g rrb even leaf removal at bunch closure lrb last leaf removal initiation period rrb increase grape anthocyanin lrb site a 7322 mg100 g and site b 11893 mg100 g rrb compare to control but total anthocyanin be lower than grape from bloom leaf removal lrb first time period rrb result differ slightly by vineyard site and rootstockscion combination	Food_Chem.
