air.n.1	over the un security council chair start on september 1st air lrb end rrb	this minister say this at a press conference introduce the work and task of spain take rrb
air.n.2	xinhua news agency bonn april 23rd air he hold that this would only cause the situation to	deteriorate further
air.n.3	she reply proclaim four to seven hour air i see no lofty mountain peak	peak
air.n.4	clear boiling hot spring testify to she vitality and power air amazing girl still extend tiny hand into the hot spring	the fire have already be dormant for 400000 year yet vapor rise everywhere and crystal to test the temperature but strangely cry out with sharp sound on be scald
air.n.5	of the bosnia herzegovina to return to the negotiating table air lrb end rrb	he request the united nations the european union the us and russia to put forward a new joint proposal to force both war party rrb
air.n.6	accord to presentation wuhan will further improve the invest environment air the third bridge over the yangtze rive have also start	construction
air.n.7	some enterprise have already recoup initial investment air the company immediately add a additional 80 million us dollar	for investment expand the annual output to 14 million set
air.n.8	soft drink cloth and silk grow by 10 to 192 air the rate of industrial production and marketing have some growth	some basic consumer goods and food keep steady growth among which candy dairy product beer whereas export grow considerably
air.n.9	ruggiero will attend the seminar and deliver a thematic speech air moreover the seminar will explore shanghai s future set up	the world trade organization director general of trial jointventure corporation in the area of foreign trade operation
air.n.10	etc have be ask the to hold a formal meeting air however country such as the us the uk etc be	for several week country such as cuba yemen against hold a formal meeting
air.n.11	xinhua news agency the un february 13th air julileah spokesman for the secretarygeneral say in a statement that	peilice dekuliar feel deep grief that so many civilian in iraq have die in the air attack
air.n.12	dekuliar the un secretarygeneral express grief at the multinational force air striking baghdad result in civilian death air accord to a	today peilice news report on february 14th by xinhua news agency from beijing when the multinational force carry out a air attack on baghdad on the 13th hundred of civilian be kill in the bombing
air.n.13	that so many civilian in iraq have die in the air attack air world public opinion have react strongly to the	julileah spokesman for the secretarygeneral say in a statement that peilice dekuliar feel deep grief event
air.n.14	xinhua news agency washington february 13th air white house spokesman fitzwater say that the us government consider	this really be a tragic outcome
air.n.15	xinhua news agency washington february 13th air white house spokesman fitzwater say that the us government consider	this really be a tragic outcome
