foundation.n.1	meeting and invite anwar and he delegation to a banquet foundation lrb end rrb	last night the vicemayor of shanghai qizheng zhao represent mayor ju huang by rrb
foundation.n.2	prime minister shewar visit china in april of this year foundation peng li point out the macao issue be a important	president zemin jiang vice president yiren rong and myself have all visit portugal and component of the relationship between china and portugal
foundation.n.3	transportation raw material etc be still the focus of investment foundation lrb end rrb	henceforth the focus of national economic construction will be gradually transfer to the midwest in step and have reinforce support for foreign investment utilization in the midwest area and fundamental industry such as agriculture rrb
foundation.n.4	annual output reach 10 million ton by the year 2005 foundation lrb end rrb	the china petroleum and natural gas corporation have determine to list the chaidamu basin as a major area for china s oil gas exploration and have plan to achieve a annual oil gas output of 3 million ton and a rrb
foundation.n.5	than 3 billion cubic meter will be mainly in chongqing foundation he say that china petroleum and natural gas corporation will	recently add natural gas of more build a new largescale fertilizer factory in chongq with a annual production scale of 450000 ton of synthetic ammonia and 800000 ton of urea at a annual gas consumption of 500 million cubic meter
foundation.n.6	altogether attract over 700 million us dollar of foreign capital foundation in the area of energy shandong s china power generation	by the end of last year seven enterprise in shandong province issue hshare nshare or bshare company ltd obtain the state s approval
foundation.n.7	s macroeconomic policy will maintain continuity stability and require flexibility foundation accord to datum provide by the guangzhou statistics office last	this year china year guangzhou complete a gross domestic product of 144584 billion yuan complete industrial add value of 57348 billion yuan agricultural add value of 8075 billion yuan fix asset investment of 65545 billion yuan total social consumable retail amount of 64432 billion yuan foreign trade export value of 6513 billion us dollar actual utilize foreign investment of 26 billion us dollar and a retail goods price index increase of 43
foundation.n.8	economic readjustment and control in recent year have be successful foundation therefore china s international income and expense can maintain the	he say china macroscopic good situation the rmb exchange rate be move towards stabilization and the investment environment continue to improve
foundation.n.9	guideline of selfdependence fight we way and building country thriftily foundation extract from the gazette of the 13th plenary session of	resolutely implement the the 7th committee of the chinese communist party
foundation.n.10	by shengjie tan publish in the paper on january 31st foundation defu chen say in he article that since the gulf	defu chen the press attach of the chinese embassy in america publish a article in the christian science monitor today sternly denounce the report of china try to sell weapon to iraq after the embargo crisis break out china have be firmly and definitely oppose to iraq s invasion of kuwait and have ask iraq to withdraw from kuwait immediately and unconditionally and to return and respect the independence sovereignty territorial integrity and the legal government of kuwait
foundation.n.11	enforce good neighborhood relation and friendly cooperation between both country foundation he express hope that the central asian region would be	he feel that the recently sign document be very important in stable and develop and that the standard of living of the people would continuously improve
foundation.n.12	the development of the sport cause for china s disabled foundation however the impact of the far south games foreshadow a	it will therefore greatly assist in bright future for this civilized and progressive cause
foundation.n.13	a three month period from equipment installation to production startup foundation lrb end rrb	it take only rrb
foundation.n.14	and this year s growth rate will reach over 13 foundation expert from shanghai s industry such as finance commerce trade	the figure issue by the shanghai statistical bureau show that from 1992 to 1996 the average annual growth of shanghai s gdp be 142 and shipping etc believe that in the next three year the third industry will make greater contribution to shanghai s gdp
foundation.n.15	specification go from 35 cm straight up to 84 cm foundation the anbo company be a key project in china s	the nationalization of the production of color tv which china build up during the seventh five year plan period lrb 1986 1990 rrb with wholesale introduction of foreign advanced technology and implementation of general technological contract from outside
