people.n.1	in england they think people be important or not base on they birth	birth
people.n.2	and i think that be part of the problem why people do not vote anymore because of of it be just	out of people s hand and they say one vote mean a lot but
people.n.3	think it be amazing that they they keep complain about people not vote and and national election should be more than	but i one day i mean i do not see how you can have ten of or hundred of thousand of people that you know just can not quite make it on that particular day for one reason or another you know
people.n.4	its news and the tabloid will supply those thing that people actually want to read about	lrb i be back in new york this week and one of my favorite thing about return here be the careful division of labor among the city s newspaper they seem to have a tacit understanding that the times will supply the city with about
people.n.5	i think there be a real danger that people will lose benefit because they will not understand how to	handle this lrb money rrb say glenda harrison staff attorney with the northern kentucky legal aid society in covington
people.n.6	she let s see she mother s family be wealthy people at one time	time
people.n.7	king save spain by surrender he own power to the people now even socialist want to preserve the monarchy	the monarchy
people.n.8	be think that if the law be enforce in general people would be maybe people would be stop at do something	oh i see you before they get to the point of
people.n.9	nice to say it she write at one point but people be not all always nice and therefore a little social	it may not be pressure can be a good thing
people.n.10	maybe people have less faith in the social science as well and	so just want to hear about story and personality
people.n.11	would not people pay more to see titanic than wild wild west	west
people.n.12	all over the dominican republic it be not to uplift people but to render they passive	merengue be terrific music too but when half a century ago trujillo order that sound system be set up to play it passive
people.n.13	that the public likes they be not at all what people object to when they rail against big government	the second be that with one possible exception these be program government
people.n.14	mass of developer turn out program that work and that people want be the crucial task	the first obviously be that create a critical task
people.n.15	not know about ninety but probably fifty percent of the people that have those probably do not wear the lap portion	exactly but ninety uh probably about well i do of it i know my brother doesn t and he have one in he car
people.n.16	a big thing say that it be you know invade people s rights and thing like that	oh yeah there be a that
people.n.17	even need to change the sign because for so long people be go be go to be able to equate mile	yeah yeah and and even change the thing i mean first off i i mean you need to address do you to kilometer i mean when you drive around europe you do the same thing
people.n.18	way the market work it be inevitable and desirable that people should try to buy low and sell high build up	these two fact mean that a certain amount of speculation be a normal and necessary part of the inventory when the price be perceive to be unusually low and run those inventory down when the price seem to be especially high
people.n.19	racquetball right and and people do not want to play with somebody that they be	go to beat every time you know and and uh and
people.n.20	russia in the absence of effective enforcement of property rights people simply grab what they think should be theirs	on tuesday izvestiya of moscow note a alarming new tendency in theirs
people.n.21	seriously disrupt the normal order of society cause chaos in people s social and moral principle	one comic book with the subtle title li hongzhi the man and he evil deeds proclaim that lsb hongzhi s rsb illegal doings principle
people.n.22	it should be to create zone where people can raise child in safety even if they must travel	elsewhere to work
people.n.23	a technological visionary must tell people what they want to hear because you company s stock	will not rise if you spout a unpopular vision to analyst
people.n.24	these day though the poll show that people pretty clearly do not want president clinton impeach	impeach
people.n.25	run allow more creativity at the lower echelon level for people to slip in slip out and do thing	more smart thing that be very damaging get in get out uh make end thing
people.n.26	shakespeare s play and i would like to think that people will do that with this lsb morton s rsb book	i like to be able to reach up on my book shelf for one of book
people.n.27	policy that encourage development more open society and opportunity for people to improve the life of they family and to enhance	recommendation a comprehensive us strategy to counter terrorism should include economic prospects for they child s future
people.n.28	to ascribe the characteristic of the antichrist to the jewish people as a whole	for most of they history christian leader have be content whole
people.n.29	the associated press raise the specter of people with socially unacceptable behavior be force to undergo brain surgery	surgery
people.n.30	most people in the industry believe the hype that digital projection be	destine for the near future
people.n.31	personal friend of chatterbox as be several other people who write or edit for beliefnetcom none of they wish	to be associate in any way with chatterbox s belief that god do not actually exist
people.n.32	he start talk about homeless people and poor people and all that	that
people.n.33	but by do so without notice they be catch people break rule that the community have in a sense decide	do not need to be enforce
people.n.34	of the post and lat piece be of a longoppressed people finally get they say while the nyt go rather more	the gist postmodern note that though the antiindependence militia have clearly have the upper hand in terror the proindependence force with 24 year of experience in both war and propaganda have seize the role of wellintentioned victim
people.n.35	uh disregard the you know one out of two people drop dead next to you you know	know
people.n.36	uh e s and h uh uh consideration that uh people be uh worry about i think much more than they	and again this be drive by all of the documentation and should
people.n.37	find out i do not know about the culture of people who read cosmopolitan you know	well yeah i i find it interesting to read just about anything that be lie around usually i mean it be always interesting stuff i do not i would not normally buy you always just well i do not know like i have a old friend who use to read cosmopolitan all the time and i think it be the most ridiculous magazine but it be just so interesting to know
people.n.38	i we must have maybe a hundred and fifty thousand people now and most of they from other place	and it be grow in leap and bound place
